Depth,SAR,SARu
1,17.3,0.3
2,14,0.7
3,6.6,0.2
4,4.1,0.2
5,4.85,0.04
6,5.34,0.07
7,4.16,0.03
8,3.51,0.12
9,3,0.2
10,3,0.13
11,3.28,0.07
12,3.52,0.1
13,2.99,0.04
14,2.22,0.02
15,1.94,0.01
16,1.79,0.01
17,1.88,0
18,2.04,0.07
19,2.1,0.1
20,2.12,0.01
21.5,1.95,0.06
23,1.99,0.15
24.5,2,0.2
26,2,0.2
27.5,2.3,0.2
29,2.24,0.05
30.5,2.23,0.09
32,2.4,0.2
33.5,3.1,0.3
35,4.2,0.3
36.5,3.5,0.2
38,2.42,0.08
39.5,2.43,0.1
41,2.22,0.1
42.5,1.7,0.04
44,1.39,0.02
45.5,1.18,0.03
47,1.21,0.01
48.5,1.65,0.02
50,1.79,0.01
51.5,1.31,0.02
53,1.02,0.05
54.5,1.02,0.04
56,1.01,0.02
57.5,1.05,0.03
59,1.12,0.04
60.5,1.19,0.04
62,1.18,0.05
63.5,1.02,0.05
65,0.97,0.06
66.5,0.89,0.06
68,0.76,0.05
69.5,0.8,0.03
71,0.87,0.03
72.5,0.84,0.11
74,0.8,0.09
75.5,0.82,0.13
77,0.79,0.15
78.5,0.65,0.08
80,0.53,0.03
81.5,0.4,0.01
